Formula,identifier,MG?
Ag70Ce5Cu25,CR,FALSE
Ag70Ce10Cu20,CR,FALSE
Ag28Cu30Fe42,AM,TRUE
Ag29Cu30Fe41,AM,TRUE
Ag30Cu30Fe40,AM,TRUE
Ag38Cu22Fe40,AM,TRUE
Ag41Cu23Fe36,AM,TRUE
Ag46Cu12Fe42,AM,TRUE
Ag21Cu42Fe37,AC,FALSE
Ag22Cu41Fe37,AC,FALSE
Ag26Cu44Fe30,AC,FALSE
Ag29Cu31Fe40,AC,FALSE
Ag31Cu37Fe32,AC,FALSE
Ag36Cu30Fe34,AC,FALSE
Ag40Cu12Fe48,AC,FALSE
Ag40Cu40Fe20,AC,FALSE
Ag40Cu47Fe13,AC,FALSE
Ag0Cu32Fe68,CR,FALSE
Ag0Cu54Fe46,CR,FALSE
Ag0Cu63Fe37,CR,FALSE
Ag0Cu70Fe30,CR,FALSE
Ag0Cu71Fe29,CR,FALSE
Ag0Cu76Fe24,CR,FALSE
Ag0Cu90Fe10,CR,FALSE
Ag11Cu38Fe51,CR,FALSE
Ag13Cu32Fe55,CR,FALSE
Ag15Cu49Fe36,CR,FALSE
Ag15Cu83Fe2,CR,FALSE
Ag17Cu20Fe63,CR,FALSE
Ag17Cu41Fe42,CR,FALSE
Ag22Cu51Fe27,CR,FALSE
Ag23Cu10Fe67,CR,FALSE
Ag24Cu31Fe45,CR,FALSE
Ag25Cu25Fe50,CR,FALSE
Ag26Cu23Fe51,CR,FALSE
Ag27Cu31Fe42,CR,FALSE
Ag27Cu73Fe0,CR,FALSE
Ag28Cu45Fe27,CR,FALSE
Ag31Cu49Fe20,CR,FALSE
Ag31Cu55Fe14,CR,FALSE
Ag32Cu66Fe2,CR,FALSE
Ag37Cu6Fe57,CR,FALSE
Ag42Cu0Fe58,CR,FALSE
Ag48Cu0Fe52,CR,FALSE
Ag48Cu52Fe0,CR,FALSE
Ag49Cu29Fe22,CR,FALSE
Ag50Cu0Fe50,CR,FALSE
Ag51Cu13Fe36,CR,FALSE
Ag52Cu0Fe48,CR,FALSE
Ag55Cu0Fe45,CR,FALSE
Ag58Cu32Fe10,CR,FALSE
Ag61Cu0Fe39,CR,FALSE
Ag62Cu30Fe8,CR,FALSE
Ag63Cu0Fe37,CR,FALSE
Ag63Cu8Fe29,CR,FALSE
Ag67Cu0Fe33,CR,FALSE
Ag70Cu0Fe30,CR,FALSE
Ag84Cu0Fe16,CR,FALSE
Ag37.5Cu37.5Ge25,AM,TRUE
Ag38.75Cu38.75Ge22.5,AM,TRUE
Ag40Cu40Ge20,AM,TRUE
Ag35Cu35Mg30,AM,TRUE
Ag7.1Cu85.2P7.7,AM,TRUE
Ag7.5Cu85.5P7,AM,TRUE
Ag8.9Cu83.5P7.6,AM,TRUE
Ag9Cu82.8P8.2,AM,TRUE
Ag9Cu84P7,AM,TRUE
Ag10.5Cu81.5P8,AM,TRUE
Ag10.5Cu81.9P7.6,AM,TRUE
Ag10.5Cu82.5P7,AM,TRUE
Ag12.2Cu80.3P7.5,AM,TRUE
Ag12.2Cu80.8P7,AM,TRUE
Ag7Cu84.5P8.5,AC,FALSE
Ag7.5Cu86P6.5,AC,FALSE
Ag9Cu84.5P6.5,AC,FALSE
Ag10.5Cu80.5P9,AC,FALSE
Ag12.2Cu81.5P6.3,AC,FALSE
Ag14Cu78.5P7.5,AC,FALSE
Ag5.5Cu87P7.5,CR,FALSE
Ag9Cu82.5P8.5,CR,FALSE
Ag9Cu85P6,CR,FALSE
Ag0Mg84Y16,AM,TRUE
Ag5Mg80Y15,AM,TRUE
Ag10Mg60Y30,AM,TRUE
Ag10Mg70Y20,AM,TRUE
Ag10Mg80Y10,AM,TRUE
Ag15Mg80Y5,AM,TRUE
Ag20Mg30Y50,AM,TRUE
Ag20Mg40Y40,AM,TRUE
Ag20Mg50Y30,AM,TRUE
Ag20Mg60Y20,AM,TRUE
Ag20Mg70Y10,AM,TRUE
Ag25Mg60Y15,AM,TRUE
Ag25Mg65Y10,AM,TRUE
Ag25Mg70Y5,AM,TRUE
Ag30Mg30Y40,AM,TRUE
Ag30Mg40Y30,AM,TRUE
Ag30Mg50Y20,AM,TRUE
Ag30Mg55Y15,AM,TRUE
Ag30Mg60Y10,AM,TRUE
Ag40Mg30Y30,AM,TRUE
Ag40Mg40Y20,AM,TRUE
Ag40Mg50Y10,AM,TRUE
Ag50Mg30Y20,AM,TRUE
Ag0Mg80Y20,AC,FALSE
Ag0Mg87.5Y12.5,AC,FALSE
Ag5Mg85Y10,AC,FALSE
Ag10Mg50Y40,AC,FALSE
Ag10Mg85Y5,AC,FALSE
Ag20Mg20Y60,AC,FALSE
Ag50Mg20Y30,AC,FALSE
Ag60Mg20Y20,AC,FALSE
Ag0Mg75Y25,CR,FALSE
Ag0Mg90Y10,CR,FALSE
Ag0Mg95Y5,CR,FALSE
Ag5Mg90Y5,CR,FALSE
Ag30Mg20Y50,CR,FALSE
Ag40Mg20Y40,CR,FALSE
Ag50Mg40Y10,CR,FALSE
Ag0Pd79Si21,AM,TRUE
Ag0Pd80Si20,AM,TRUE
Ag0Pd82Si18,AM,TRUE
Ag0Pd84Si16,AM,TRUE
Ag0Pd85Si15,AM,TRUE
Ag4.5Pd75.5Si20,AM,TRUE
Ag4.5Pd79Si16.5,AM,TRUE
Ag5Pd77Si18,AM,TRUE
Ag5Pd79Si16,AM,TRUE
Ag5.5Pd78Si16.5,AM,TRUE
Ag8.5Pd75Si16.5,AM,TRUE
Ag4Pd79.5Si16.5,AM,TRUE
Ag1.7Pd81.8Si16.5,AM,TRUE
Ag4.2Pd79.3Si16.5,AM,TRUE
Ag6.7Pd76.8Si16.5,AM,TRUE
Ag10Pd73.5Si16.5,AM,TRUE
Ag12.5Pd71Si16.5,AM,TRUE
Ag15Pd68.5Si16.5,AM,TRUE
Ag4.5Pd75.5Si20,AM,TRUE
Ag6Pd77.5Si16.5,AM,TRUE
Ag20.9Pd62.6Si16.5,CR,FALSE
Al25Au20La55,AM,TRUE
Al0B18Co82,AM,TRUE
Al0B22Co78,AM,TRUE
Al0B26Co74,AM,TRUE
Al0B30Co70,AM,TRUE
Al0B36Co64,AM,TRUE
Al0B38Co62,AM,TRUE
Al0B40Co60,AM,TRUE
Al4B18Co78,AM,TRUE
Al4B22Co74,AM,TRUE
Al4B26Co70,AM,TRUE
Al4B30Co66,AM,TRUE
Al4B34Co62,AM,TRUE
Al8B18Co74,AM,TRUE
Al8B22Co70,AM,TRUE
Al8B26Co66,AM,TRUE
Al8B30Co62,AM,TRUE
Al8B34Co58,AM,TRUE
Al12B18Co70,AM,TRUE
Al12B22Co66,AM,TRUE
Al12B26Co62,AM,TRUE
Al12B30Co58,AM,TRUE
Al12B34Co54,AM,TRUE
Al12B38Co50,AM,TRUE
Al16B14Co70,AM,TRUE
Al16B18Co66,AM,TRUE
Al16B22Co62,AM,TRUE
Al16B26Co58,AM,TRUE
Al16B30Co54,AM,TRUE
Al16B34Co50,AM,TRUE
Al20B26Co54,AM,TRUE
Al20B30Co50,AM,TRUE
Al20B34Co46,AM,TRUE
Al20B38Co42,AM,TRUE
Al24B26Co50,AM,TRUE
Al24B34Co42,AM,TRUE
Al24B40Co36,AM,TRUE
Al8B14Co78,AC,FALSE
Al12B14Co74,AC,FALSE
Al20B18Co62,AC,FALSE
Al20B22Co58,AC,FALSE
Al4B10Co86,CR,FALSE
Al4B14Co82,CR,FALSE
Al8B10Co82,CR,FALSE
Al12B6Co82,CR,FALSE
Al12B10Co78,CR,FALSE
Al16B10Co74,CR,FALSE
Al20B10Co70,CR,FALSE
Al20B14Co66,CR,FALSE
Al24B22Co54,CR,FALSE
Al0B13Fe87,AM,TRUE
Al0B18Fe82,AM,TRUE
Al0B22Fe78,AM,TRUE
Al4B14Fe82,AM,TRUE
Al4B18Fe78,AM,TRUE
Al4B22Fe74,AM,TRUE
Al8B14Fe78,AM,TRUE
Al8B18Fe74,AM,TRUE
Al8B22Fe70,AM,TRUE
Al12B14Fe74,AM,TRUE
Al12B22Fe66,AM,TRUE
Al16B14Fe70,AM,TRUE
Al16B18Fe66,AM,TRUE
Al16B22Fe62,AM,TRUE
Al16B26Fe58,AM,TRUE
Al20B14Fe66,AM,TRUE
Al20B18Fe62,AM,TRUE
Al20B26Fe54,AM,TRUE
Al20B30Fe50,AM,TRUE
Al20B34Fe46,AM,TRUE
Al4B10Fe86,CR,FALSE
Al8B10Fe82,CR,FALSE
Al12B6Fe82,CR,FALSE
Al12B10Fe78,CR,FALSE
Al16B10Fe74,CR,FALSE
Al0B18Ni82,AM,TRUE
Al0B30Ni70,AM,TRUE
Al0B34Ni66,AM,TRUE
Al0B38Ni62,AM,TRUE
Al0B40Ni60,AM,TRUE
Al0B42Ni58,AM,TRUE
Al4B18Ni78,AM,TRUE
Al4B22Ni74,AM,TRUE
Al4B26Ni70,AM,TRUE
Al4B30Ni66,AM,TRUE
Al4B34Ni62,AM,TRUE
Al4B38Ni58,AM,TRUE
Al4B42Ni54,AM,TRUE
Al8B18Ni74,AM,TRUE
Al8B22Ni70,AM,TRUE
Al8B26Ni66,AM,TRUE
Al8B30Ni62,AM,TRUE
Al8B34Ni58,AM,TRUE
Al8B38Ni54,AM,TRUE
Al8B42Ni50,AM,TRUE
Al12B18Ni70,AM,TRUE
Al12B22Ni66,AM,TRUE
Al12B26Ni62,AM,TRUE
Al12B30Ni58,AM,TRUE
Al12B34Ni54,AM,TRUE
Al16B18Ni66,AM,TRUE
Al16B22Ni62,AM,TRUE
Al16B26Ni58,AM,TRUE
Al16B30Ni54,AM,TRUE
Al16B34Ni50,AM,TRUE
Al16B38Ni46,AM,TRUE
Al20B18Ni62,AM,TRUE
Al20B22Ni58,AM,TRUE
Al20B26Ni54,AM,TRUE
Al20B30Ni50,AM,TRUE
Al20B34Ni46,AM,TRUE
Al20B40Ni40,AM,TRUE
Al24B26Ni50,AM,TRUE
Al12B14Ni74,AC,FALSE
Al24B14Ni62,AC,FALSE
Al24B18Ni58,AC,FALSE
Al24B22Ni54,AC,FALSE
Al28B22Ni50,AC,FALSE
Al0B22Ni78,CR,FALSE
Al0B26Ni74,CR,FALSE
Al16B14Ni70,CR,FALSE
Al20B14Ni66,CR,FALSE
Al28B30Ni42,CR,FALSE
Al85Ca10Co5,AM,TRUE
Al89Ca11Co0,AM,TRUE
Al90Ca10Co0,AM,TRUE
Al91Ca9Co0,AM,TRUE
Al85Ca10Cu5,AM,TRUE
Al89Ca11Cu0,AM,TRUE
Al90Ca10Cu0,AM,TRUE
Al91Ca9Cu0,AM,TRUE
Al87.5Ca7.5Fe5,AM,TRUE
Al90Ca7.5Fe2.5,AM,TRUE
Al85Ca10Fe5,AM,TRUE
Al89Ca11Fe0,AM,TRUE
Al90Ca10Fe0,AM,TRUE
Al91Ca9Fe0,AM,TRUE
Al85Ca10Fe5,AC,FALSE
Al87.5Ca10Fe2.5,AC,FALSE
Al90Ca10Fe0,AC,FALSE
Al92.5Ca2.5Fe5,CR,FALSE
Al92.5Ca7.5Fe0,CR,FALSE
Al90Ca5Fe5,CR,FALSE
Al10Ca60Ga30,AM,TRUE
Al20Ca60Ga20,AM,TRUE
Al30Ca60Ga10,AM,TRUE
Al40Ca60Ga0,AM,TRUE
Al15Ca70Mg15,AM,TRUE
Al22.5Ca70Mg7.5,AM,TRUE
Al30Ca70Mg0,AM,TRUE
Al85Ca10Mg5,AM,TRUE
Al89Ca11Mg0,AM,TRUE
Al90Ca10Mg0,AM,TRUE
Al91Ca9Mg0,AM,TRUE
Al20Ca10Mg70,AM,TRUE
Al85Ca10Ni5,AM,TRUE
Al87.5Ca7.5Ni5,AM,TRUE
Al90Ca7.5Ni2.5,AM,TRUE
Al85Ca10Ni5,AM,TRUE
Al89Ca11Ni0,AM,TRUE
Al90Ca10Ni0,AM,TRUE
Al91Ca9Ni0,AM,TRUE
Al87.5Ca10Ni2.5,AC,FALSE
Al90Ca10Ni0,AC,FALSE
Al90Ca0Ni10,CR,FALSE
Al92.5Ca2.5Ni5,CR,FALSE
Al92.5Ca7.5Ni0,CR,FALSE
Al80Ca10Ni10,CR,FALSE
Al85Ca5Ni10,CR,FALSE
Al87.5Ca2.5Ni10,CR,FALSE
Al88.75Ca1.25Ni10,CR,FALSE
Al90Ca5Ni5,CR,FALSE
Al85Ca10Zn5,AM,TRUE
Al89Ca11Zn0,AM,TRUE
Al90Ca10Zn0,AM,TRUE
Al91Ca9Zn0,AM,TRUE
Al80Ce5Co15,AM,TRUE
Al80Ce10Co10,AM,TRUE
Al83Ce5Co12,AM,TRUE
Al85Ce5Co10,AM,TRUE
Al85Ce10Co5,AM,TRUE
Al87Ce8Co5,AM,TRUE
Al88Ce2Co10,AM,TRUE
Al88Ce10Co2,AM,TRUE
Al90Ce3Co7,AM,TRUE
Al90Ce5Co5,AM,TRUE
Al90Ce10Co0,AM,TRUE
Al91Ce9Co0,AM,TRUE
Al92Ce8Co0,AM,TRUE
Al93Ce7Co0,AM,TRUE
Al88Ce12Co0,AC,FALSE
Al89Ce11Co0,AC,FALSE
Al75Ce5Co20,CR,FALSE
Al75Ce10Co15,CR,FALSE
Al75Ce15Co10,CR,FALSE
Al77Ce10Co13,CR,FALSE
Al80Ce15Co5,CR,FALSE
Al87Ce13Co0,CR,FALSE
Al90Ce0Co10,CR,FALSE
Al94Ce4Co2,CR,FALSE
Al94Ce6Co0,CR,FALSE
Al95Ce2Co3,CR,FALSE
Al85Ce10Cr5,AM,TRUE
Al87Ce10Cr3,AM,TRUE
Al90Ce10Cr0,AM,TRUE
Al91Ce9Cr0,AM,TRUE
Al92Ce8Cr0,AM,TRUE
Al93Ce7Cr0,AM,TRUE
Al88Ce12Cr0,AM,TRUE
Al89Ce8Cr3,AC,FALSE
Al89Ce11Cr0,AC,FALSE
Al80Ce10Cr10,AC,FALSE
Al80Ce15Cr5,CR,FALSE
Al83Ce10Cr7,CR,FALSE
Al87Ce8Cr5,CR,FALSE
Al87Ce13Cr0,CR,FALSE
Al94Ce6Cr0,CR,FALSE
Al93Ce2Cr5,CR,FALSE
Al94Ce2Cr4,CR,FALSE
Al75Ce10Cu15,AM,TRUE
Al80Ce5Cu15,AM,TRUE
Al80Ce10Cu10,AM,TRUE
Al83Ce7Cu10,AM,TRUE
Al85Ce5Cu10,AM,TRUE
Al85Ce10Cu5,AM,TRUE
Al87Ce8Cu5,AM,TRUE
Al88Ce10Cu2,AM,TRUE
Al90Ce10Cu0,AM,TRUE
Al91Ce9Cu0,AM,TRUE
Al92Ce8Cu0,AM,TRUE
Al93Ce7Cu0,AM,TRUE
Al6Ce10Cu84,AM,TRUE
Al8Ce8Cu84,AM,TRUE
Al8Ce10Cu82,AM,TRUE
Al10Ce8Cu82,AM,TRUE
Al12Ce8Cu80,AM,TRUE
Al88Ce5Cu7,AC,FALSE
Al88Ce12Cu0,AC,FALSE
Al89Ce11Cu0,AC,FALSE
Al90Ce5Cu5,AC,FALSE
Al2Ce8Cu90,AC,FALSE
Al2Ce10Cu88,AC,FALSE
Al4Ce8Cu88,AC,FALSE
Al4Ce10Cu86,AC,FALSE
Al6Ce6Cu88,AC,FALSE
Al6Ce8Cu86,AC,FALSE
Al8Ce6Cu86,AC,FALSE
Al10Ce4Cu86,AC,FALSE
Al10Ce6Cu84,AC,FALSE
Al70Ce10Cu20,CR,FALSE
Al70Ce15Cu15,CR,FALSE
Al75Ce5Cu20,CR,FALSE
Al75Ce15Cu10,CR,FALSE
Al80Ce15Cu5,CR,FALSE
Al83Ce2Cu15,CR,FALSE
Al87Ce13Cu0,CR,FALSE
Al88Ce2Cu10,CR,FALSE
Al94Ce6Cu0,CR,FALSE
Al2Ce6Cu92,CR,FALSE
Al4Ce4Cu92,CR,FALSE
Al6Ce4Cu90,CR,FALSE
Al10Ce2Cu88,CR,FALSE
Al10Ce10Cu80,CR,FALSE
Al12Ce6Cu82,CR,FALSE
Al12Ce10Cu78,CR,FALSE
Al14Ce6Cu80,CR,FALSE
Al14Ce8Cu78,CR,FALSE
Al14Ce10Cu76,CR,FALSE
Al80Ce10Fe10,AM,TRUE
Al83Ce7Fe10,AM,TRUE
Al85Ce5Fe10,AM,TRUE
Al85Ce10Fe5,AM,TRUE
Al87Ce8Fe5,AM,TRUE
Al88Ce2Fe10,AM,TRUE
Al88Ce10Fe2,AM,TRUE
Al90Ce3Fe7,AM,TRUE
Al90Ce10Fe0,AM,TRUE
Al91Ce9Fe0,AM,TRUE
Al92Ce8Fe0,AM,TRUE
Al93Ce7Fe0,AM,TRUE
Al90Ce5Fe5,AM,TRUE
Al75Ce15Fe10,AC,FALSE
Al88Ce12Fe0,AC,FALSE
Al89Ce11Fe0,AC,FALSE
Al75Ce10Fe15,CR,FALSE
Al80Ce15Fe5,CR,FALSE
Al84Ce2Fe14,CR,FALSE
Al87Ce13Fe0,CR,FALSE
Al89Ce1Fe10,CR,FALSE
Al94Ce2Fe4,CR,FALSE
Al94Ce4Fe2,CR,FALSE
Al94Ce6Fe0,CR,FALSE
Al94Ce2Fe4,CR,FALSE
Al85Ce10Mn5,AM,TRUE
Al86Ce10Mn4,AM,TRUE
Al88Ce10Mn2,AM,TRUE
Al90Ce10Mn0,AM,TRUE
Al91Ce9Mn0,AM,TRUE
Al92Ce8Mn0,AM,TRUE
Al93Ce7Mn0,AM,TRUE
Al83Ce10Mn7,AC,FALSE
Al87Ce8Mn5,AC,FALSE
Al88Ce12Mn0,AC,FALSE
Al89Ce6Mn5,AC,FALSE
Al89Ce11Mn0,AC,FALSE
Al80Ce10Mn10,CR,FALSE
Al85Ce5Mn10,CR,FALSE
Al87Ce13Mn0,CR,FALSE
Al88Ce2Mn10,CR,FALSE
Al94Ce6Mn0,CR,FALSE
Al93Ce2Mn5,CR,FALSE
Al94Ce2Mn4,CR,FALSE
Al80Ce10Nb10,AM,TRUE
Al83Ce7Nb10,AM,TRUE
Al85Ce10Nb5,AM,TRUE
Al87Ce8Nb5,AM,TRUE
Al88Ce10Nb2,AM,TRUE
Al90Ce8Nb2,AM,TRUE
Al90Ce10Nb0,AM,TRUE
Al91Ce9Nb0,AM,TRUE
Al92Ce6Nb2,AM,TRUE
Al92Ce8Nb0,AM,TRUE
Al93Ce7Nb0,AM,TRUE
Al77Ce10Nb13,AC,FALSE
Al88Ce12Nb0,AC,FALSE
Al89Ce11Nb0,AC,FALSE
Al75Ce15Nb10,CR,FALSE
Al80Ce15Nb5,CR,FALSE
Al85Ce5Nb10,CR,FALSE
Al87Ce13Nb0,CR,FALSE
Al90Ce5Nb5,CR,FALSE
Al94Ce6Nb0,CR,FALSE
Al60Ce10Ni30,AM,TRUE
Al65Ce5Ni30,AM,TRUE
Al70Ce10Ni20,AM,TRUE
Al75Ce5Ni20,AM,TRUE
Al80Ce10Ni10,AM,TRUE
Al84Ce6Ni10,AM,TRUE
Al85Ce5Ni10,AM,TRUE
Al85Ce6Ni9,AM,TRUE
Al85Ce10Ni5,AM,TRUE
Al86Ce6Ni8,AM,TRUE
Al87Ce6Ni7,AM,TRUE
Al87Ce13Ni0,AM,TRUE
Al88Ce2Ni10,AM,TRUE
Al88Ce12Ni0,AM,TRUE
Al89Ce11Ni0,AM,TRUE
Al90Ce10Ni0,AM,TRUE
Al90Ce10Ni0,AM,TRUE
Al91Ce9Ni0,AM,TRUE
Al91Ce9Ni0,AM,TRUE
Al92Ce8Ni0,AM,TRUE
Al93Ce7Ni0,AM,TRUE
Al88Ce12Ni0,AC,FALSE
Al89Ce11Ni0,AC,FALSE
Al80Ce15Ni5,CR,FALSE
Al87Ce13Ni0,CR,FALSE
Al90Ce0Ni10,CR,FALSE
Al94Ce6Ni0,CR,FALSE
Al61Ce10Ni29,AM,TRUE
Al65Ce15Ni20,AM,TRUE
Al70Ce10Ni20,AM,TRUE
Al70Ce15Ni15,AM,TRUE
Al75Ce5Ni20,AM,TRUE
Al75Ce10Ni15,AM,TRUE
Al80Ce5Ni15,AM,TRUE
Al80Ce10Ni10,AM,TRUE
Al82Ce8Ni10,AM,TRUE
Al85Ce5Ni10,AM,TRUE
Al85Ce10Ni5,AM,TRUE
Al86Ce4Ni10,AM,TRUE
Al87Ce5Ni8,AM,TRUE
Al89Ce10Ni1,AM,TRUE
Al90Ce10Ni0,AM,TRUE
Al93Ce7Ni0,AM,TRUE
Al70Ce20Ni10,AC,FALSE
Al90Ce5Ni5,AC,FALSE
Al60Ce20Ni20,CR,FALSE
Al80Ce15Ni5,CR,FALSE
Al88Ce12Ni0,CR,FALSE
Al95Ce5Ni0,CR,FALSE
Al85Ce5Ni10,AM,TRUE
Al86Ce6Ni8,AM,TRUE
Al25Ce55Ni20,AM,TRUE
Al84Ce6Ni10,AM,TRUE
Al91Ce5Ni4,AM,TRUE
Al88Ce10V2,AM,TRUE
Al90Ce10V0,AM,TRUE
Al91Ce9V0,AM,TRUE
Al92Ce8V0,AM,TRUE
Al93Ce7V0,AM,TRUE
Al88Ce8V4,AC,FALSE
Al88Ce12V0,AC,FALSE
Al89Ce6V5,AC,FALSE
Al89Ce11V0,AC,FALSE
Al80Ce10V10,CR,FALSE
Al85Ce10V5,CR,FALSE
Al85Ce13V2,CR,FALSE
Al87Ce13V0,CR,FALSE
Al94Ce6V0,CR,FALSE
Al94Ce2V4,CR,FALSE
Al86Co12Fe2,AM,TRUE
Al87Co11Fe2,AM,TRUE
Al86Co14Fe0,AC,FALSE
Al87Co9Fe4,AC,FALSE
Al88Co2Fe10,AC,FALSE
Al88Co4Fe8,AC,FALSE
Al88Co6Fe6,AC,FALSE
Al88Co8Fe4,AC,FALSE
Al88Co10Fe2,AC,FALSE
Al88Co12Fe0,AC,FALSE
Al90Co0Fe10,AC,FALSE
Al90Co2Fe8,AC,FALSE
Al90Co4Fe6,AC,FALSE
Al90Co6Fe4,AC,FALSE
Al90Co8Fe2,AC,FALSE
Al90Co10Fe0,AC,FALSE
Al92Co0Fe8,AC,FALSE
Al92Co2Fe6,AC,FALSE
Al92Co4Fe4,AC,FALSE
Al92Co6Fe2,AC,FALSE
Al92Co8Fe0,AC,FALSE
Al94Co0Fe6,AC,FALSE
Al94Co2Fe4,AC,FALSE
Al94Co4Fe2,AC,FALSE
Al94Co6Fe0,AC,FALSE
Al96Co0Fe4,CR,FALSE
Al96Co2Fe2,CR,FALSE
Al96Co4Fe0,CR,FALSE
Al98Co0Fe2,CR,FALSE
Al98Co2Fe0,CR,FALSE
Al100Co0Fe0,CR,FALSE
Al84Co12Fe4,CR,FALSE
Al84Co14Fe2,CR,FALSE
Al86Co4Fe10,CR,FALSE
Al86Co6Fe8,CR,FALSE
Al86Co8Fe6,CR,FALSE
Al86Co10Fe4,CR,FALSE
Al86Co12Fe2,CR,FALSE
Al88Co0Fe12,CR,FALSE
Al88Co2Fe10,CR,FALSE
Al88Co4Fe8,CR,FALSE
Al88Co6Fe6,CR,FALSE
Al42Co10Ge48,AM,TRUE
Al57Co18Ge25,AM,TRUE
Al69Co6Ge25,AM,TRUE
Al78Co10Ge12,AM,TRUE
Al25Co20La55,AM,TRUE
Al88Co8Mn4,AC,FALSE
Al88Co10Mn2,AC,FALSE
Al88Co12Mn0,AC,FALSE
Al90Co6Mn4,AC,FALSE
Al90Co8Mn2,AC,FALSE
Al90Co10Mn0,AC,FALSE
Al92Co4Mn4,AC,FALSE
Al92Co6Mn2,AC,FALSE
Al92Co8Mn0,AC,FALSE
Al94Co4Mn2,AC,FALSE
Al94Co6Mn0,AC,FALSE
Al94Co0Mn6,CR,FALSE
Al94Co2Mn4,CR,FALSE
Al96Co0Mn4,CR,FALSE
Al96Co2Mn2,CR,FALSE
Al96Co4Mn0,CR,FALSE
Al98Co0Mn2,CR,FALSE
Al98Co2Mn0,CR,FALSE
Al100Co0Mn0,CR,FALSE
Al84Co12Mn4,CR,FALSE
Al84Co14Mn2,CR,FALSE
Al86Co8Mn6,CR,FALSE
Al86Co10Mn4,CR,FALSE
Al86Co12Mn2,CR,FALSE
Al86Co14Mn0,CR,FALSE
Al88Co6Mn6,CR,FALSE
Al90Co2Mn8,CR,FALSE
Al90Co4Mn6,CR,FALSE
Al92Co0Mn8,CR,FALSE
Al92Co2Mn6,CR,FALSE
Al87Co1Ni12,AM,TRUE
Al88Co4Ni8,AM,TRUE
Al88Co5Ni7,AM,TRUE
Al87Co1Ni12,AM,TRUE
Al87Co2Ni11,AM,TRUE
Al88Co4Ni8,AM,TRUE
Al88Co5Ni7,AM,TRUE
Al84Co8Ni8,AC,FALSE
Al85Co1Ni14,AC,FALSE
Al85Co5Ni10,AC,FALSE
Al85Co10Ni5,AC,FALSE
Al86Co0Ni14,AC,FALSE
Al86Co1Ni13,AC,FALSE
Al86Co2Ni12,AC,FALSE
Al86Co3Ni11,AC,FALSE
Al86Co5Ni9,AC,FALSE
Al86Co14Ni0,AC,FALSE
Al87Co3Ni10,AC,FALSE
Al87Co4Ni9,AC,FALSE
Al87Co5Ni8,AC,FALSE
Al88Co0Ni12,AC,FALSE
Al88Co1Ni11,AC,FALSE
Al88Co2Ni10,AC,FALSE
Al88Co3Ni9,AC,FALSE
Al88Co6Ni6,AC,FALSE
Al88Co7Ni5,AC,FALSE
Al88Co8Ni4,AC,FALSE
Al88Co9Ni3,AC,FALSE
Al88Co10Ni2,AC,FALSE
Al88Co11Ni1,AC,FALSE
Al88Co12Ni0,AC,FALSE
Al89Co1Ni10,AC,FALSE
Al89Co2Ni9,AC,FALSE
Al89Co3Ni8,AC,FALSE
Al89Co4Ni7,AC,FALSE
